"ID","Name","Description","Type","Parent Customer ID","Bill to Parent","Status","Website","Billing Batch","Payment Terms","Currency","Billing Cycle Day","Auto-Pay","Allow Customer to Disable Auto-Pay","Tax Exempt","Account Balance","Price Book ID","Gateway Name","Gateway Account Name","Payment Gateway ID","Billing Contact ID","Shipping Contact ID","ACH Credit Account Number","ACH Credit Routing Number","ACH Credit Bank Name","ACH Credit Swift Code","ACH Payment Enabled","Canadian Pre-Authorized Payment Enabled","ACH Credit Payment Enabled","Credit Card Payment Enabled","Affirm Payment Enabled","Payment Processing Fee Enabled","Portal Status","Last Invoice Date","Contracted MRR","Discounted CMRR","Contracted ARR","Discounted CARR","Print Enabled","Email Enabled","Integration Status","Integration Failed At","Integration Failed At Avalara","Integration Failed At Quickbooks","Created By","Updated By","Created Date","Updated Date","Implementation Budgeted Hours","Project Lead","Project Type","Target Project End Date","Implementation Hours Consumed to Date","Premium Support","Premium Support Hours","CSM","Use Case Notes","Data Cleanup Date","Implementation - Summary","Target Go Live Date","Actual Go Live Date","GL","Last Connect Date","Client Sentiment","Product Issues","Implementation - Lead","Implementation - Kickoff Date","Implementation - Running Notes","Customer Sentiment","Planned Integrations","Target Implementation End Date","Other Risk","PO Number","Date of non-renewal","Sales Rep","quickbooks_id","Renewal Notes","Customer Success - Notes","Implementation - T&M Start Date","Challenges and Opportunities","Stickiness Factor","salesforce_id","Database Location","avalara_entity_use_code","avalara_customer_code","business_identification_num","netsuite_id","Tier","Term Notes","Amount Remaining in Tier","Invoice Usage","Implementation - Project Health","Database ID","Tier Maximum Invoicing Value","Graduation Line Nearing?","Client Status"
"C-00090","Post University, Inc","","business","","","Active","","Default","Net 10","USD","1st Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00206","CT-00206","","","","","Yes","No","No","No","No","No","","2022-11-01","0.00","0.00","0.00","0.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2021-09-15 13:32:51 UTC","2025-07-30 16:14:13 UTC","0","","","","0","No","0","","","","","","2022-01-31","Other","","","","Neil Pritchard","2021-11-02","Customers and plans and charges set up, Go live for 1 1 2022. Client in hyper care","Satisfied","","2022-01-31","Their data is manual so Ordway cannot automate","","","Renewal","349","","","2022-02-01","","","","US","","C-00090","","","Tier 1","","5000000.00","0.00","Green","","5000000.00","","Churned"
"C-00091","Exact Payments OpCo LLC","","business","","","Active","","Default","Net 10","USD","1st Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00207","CT-00207","","","","","Yes","No","No","No","No","No","","2024-12-05","4400.00","3000.00","52800.00","36000.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2021-09-17 02:06:49 UTC","2025-07-30 16:14:14 UTC","0","","None","","0","No","0","","","","","","","Intacct","","1 Green","","Kaitlin Noser","2022-01-01","","Satisfied","","2022-08-31","Selling part of their business","","","Renewal","350","","Sep 8, 2022 - Transition to support done 9/23/21 - Customer (Michael Marks) spoke to Rob about possibility of delaying implementation to start of '22 vs. Nov 1 (SO start date). Rob proposed starting with legacy migration on Nov 1. Michael to discuss with his team. Project scope: Hubspot, Intacct, P1/P2 (web integrations for online sales), new gateway (recommended CardConnect). Sales channels: parent/child, channel.","","CS - They recently asked for an API key so that is good news

Try to get them to implement Quotes so we don't have to drop it as a charge in year 2 of this renewal","","","US","","C-00091","","","Tier 3","","20000000.00","0.00","Green","","20000000.00","","Potential Churn"
"C-00092","Applied Business Software, Inc","-","business","","","Active","","Default","Net 10","USD","1st Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","cus_KHUzX8X9QSiXiF","CT-00209","CT-00209","","","","","Yes","No","No","No","No","No","","2024-10-02","4400.00","4400.00","52800.00","52800.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2021-09-17 02:16:34 UTC","2025-07-30 16:14:14 UTC","0","","None","","0","No","0","","","","","","","QBO","2024-11-29","1 Green","PRODUCT
Need to be able to disable/ enable auto pay on a subscription level","Max Mondelo","2021-11-01","- 12/20/21. Customer emailed Max and canceled call at the last minute. This is the 2nd time they have done this. - 12/14/21. Had a 15 minute call scheduled with them yesterday that they no-showed. No communication from customer (as far as I've seen, may have emailed Max specifically). The only information they've provided has been a customer list. I got those imported into Ordway. Need to start getting additional information like contacts, as well as use case information. - 1/31/22 - Working on integrations of Quickbook and Avalara in the comming weeks. Client has to migrate from QBD to QBO. Will contact Bob C. if there are any nuances to the QBO integration that I need help on.","Satisfied","","2022-05-02","","","","Renewal","408","","8/28/23 - They had a lot of BSL updates that needed to be done each week because of changes to subs around go live and it was taking a ton of time and we charged them for some hours here and there. It is largely completed/smooth now.","2022-04-11","Occasional reporting requests

Going to start using HubSpot. Using starting next two weeks. One way for new customers.","","","","","C-00092","","","Tier 1","","11376329.76","623670.24","Green","419","12000000.00","","Live - Support"
"C-00093","Thirdfort Limited","","business","","","Active","","Default","Net 30","USD","15th Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00210","CT-00210","","","","","Yes","No","No","No","No","No","","2024-09-26","4400.00","4400.00","52800.00","52800.00","Yes","Yes","failed","2025-07-30 15:51:52 UTC","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2021-09-22 05:16:35 UTC","2025-07-30 16:14:14 UTC","0","","None","","0","No","0","","","","","","","Xero","2024-07-08","1 Green","","Bob Crisantes","2021-10-15","Started, once working through main use workflow and testing, just focus on integrations afterwards and begin salesforce side of project.
2/14/2022 --- Xero # of API calls. Working with DEV team.","Satisfied","","2022-02-10","","","","Renewal","354","","","2022-01-31","","","","US","","C-00093","","","Tier 2","","7890566.56","2109433.44","Green","76","10000000.00","","Live - Support"
"C-00094","Cleared4","","business","","","Active","","Default","Net 10","USD","1st Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00212","CT-00212","","","","","Yes","No","No","No","No","No","","2022-11-01","0.00","0.00","0.00","0.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2021-09-23 20:46:29 UTC","2025-07-30 16:14:15 UTC","0","","","","0","No","0","","","","","","","QBO","","","","Nicholas Caligaris","","","","","","","","","Renewal","355","","","","","","","US","","C-00094","","","Tier 1","","1919874.12","3080125.88","Green","416","5000000.00","","Churned before go live"
"C-00095","Agency Within LLC DBA WITHIN","","business","","","Active","","Default","Net 10","USD","1st Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00215","CT-00215","","","","","Yes","No","No","No","No","No","","2022-11-01","0.00","0.00","0.00","0.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2021-09-23 20:53:16 UTC","2025-07-30 16:14:15 UTC","0","","","","0","No","0","","","","","","2023-03-31","Xero","","","","","2022-05-10","","Satisfaction Risk","","2023-03-31","New leadership no longer wanted to finish Ordway implementation and requested a refund for the second year's payment. Never completed implementation due to client commitment.","","Will not be renewing","Renewal","356","","","2022-08-10","","","","US","","C-00095","","","Tier 5","","40000000.00","0.00","Red","","40000000.00","","Churned before go live"
"C-00096","Mantl","-","business","","","Active","","Default","Net 30","USD","15th Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00219","CT-00219","","","","","Yes","No","No","No","No","No","","2025-01-10","6600.00","5041.66","79200.00","60500.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2021-10-01 12:08:47 UTC","2025-07-30 16:14:15 UTC","0","Sneha, Max","Upcoming Project","","0","No","0","","","","","","","Xero","","1 Green","","Justin Harclerode","2021-12-14","Health is good, Max is very engaged in the project, Veronica is less engaged. 11 Jan 2022, departure of CFO and Managing Accountant. 01 Feb 2022, currently building out remaining contracts and internal team (MANTL) has scheduled a jira for integration for usage. 11 Feb 2022, Max MANTL is engaged and starting to become more invested. 20 Apr 2022, New CFO & Max joined for a reporting session where we walked through various different reports. She is highly concerned about the ability to visually display data within Ordway. JV explained the new reporting framework launching which might dismiss any doubts. 6 May 2022, Max is a power Ordway user and had no issues with T&M. Company is report/dashboard driven and would be great candidates for the pilot roll-out.
Anrok taxes - this is a product enhancement being led by Brannon. (No longer a go live blocker after Accounting Managers departure. Still a requirement) Anrok is currently in development (25 Feb) Medium https://ordway.atlassian.net/browse/BIL-3701 High - Blocker for on-going live. Currently no resolution https://ordwaylabs.zendesk.com/agent/tickets/6198","Satisfied","","2022-05-06","New CFO","","","Renewal","357","","11/13/23 - Client is not using revenue recognition or payment application/collections.","2022-03-15","9/24/24 We are still waiting on their payment data to bring their AR/aging up to current and then we can close the books

Customer Success reimplementation revenue, import historical payments, bring JEs up to current","","","US","","C-00096","","","Tier 2","","10000000.00","0.00","Green","","10000000.00","","Live - Support"
"C-00097","Pipl","","business","","","Active","","Default","Net 10","USD","15th Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00223","CT-00223","","","","","Yes","No","No","No","No","No","","2022-01-15","0.00","0.00","0.00","0.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2021-10-01 21:09:46 UTC","2025-07-30 16:14:16 UTC","0","","","","0","No","0","","","","","","","NetSuite","","","","","","","","","","","","","Renewal","358","","","","","","","US","","C-00097","","","Tier 4","","30000000.00","0.00","Green","","30000000.00","","Churned before go live"
"C-00098","Observe, Inc","","business","","","Active","","Default","Net 10","USD","17th Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00231","CT-00231","","","","","Yes","No","No","No","No","No","","2024-03-15","0.00","0.00","0.00","0.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2021-11-13 15:11:57 UTC","2025-07-30 16:14:16 UTC","0","","","","0","No","0","","","","","","2022-07-01","QBO","","4 Red","","Vijay Venkatesh","2022-01-20","Client is live and we have built a number of workflow automations to improve their process. We have also gone above and beyond with SFDC consulting.
- They need additional support to build out SF report, setting up a meeting with Alex early next week - Open Issue 7323","Satisfied","","2022-07-01","Gave notice to not renew","","","Renewal","401","","","2022-06-30","If they stay, suggested updates:
-True up WF can be scheduled to run at 10am
-Enabling customer portal to give access to end users of usage data
-set up SFDC sync for change/renewals - this was a blocker previously because of back-dated usage usage case, but apparently going forward they will no longer have back-dated usage","","","US","","C-00098","","","Tier 2","","10000000.00","0.00","Green","","10000000.00","","Churning"
"C-00099","OneDay","","business","","","Active","","Default","Net 10","USD","1st Day Of The Month","No","Yes","No","0.00","","Stripe","Stripe","","CT-00232","CT-00232","","","","","Yes","No","No","No","No","No","","2024-11-01","3300.00","2805.00","39600.00","33660.00","Yes","Yes","success","","","","sg@ordwaylabs.com","sg@ordwaylabs.com","2021-11-21 13:47:59 UTC","2025-07-30 16:14:17 UTC","0","","None","","0","No","0","","","","","","","QBO","2023-08-28","1 Green","","Justin Harclerode","2021-12-01","","Satisfied","","2022-01-31","","","","Renewal","406","","4/19: Met with the team and overall are very happy with the product. There are some minor tweaks here and there that they want to make but are excited to dig into the reporting and the Hubspot integration shortly. Oct 13 2022 - Overall happy with the product and mentioned they would like better documentation as most of the times the articles don't help them and they have to submit a ticket instead. Also looking forward to new reporting framework. Discussed the following: 1. Please let us know whenever you come across an article that you think is not clear enough in explaining what you are looking for 2. Team OneDay is currently working on integrating with HubSpot (non-accounting teams are working on the data now) 3. The new reporting framework we're planning to launch in Q1 should help with the time it takes to generate a custom report 4. We will send the renewal contract closer to the renewal date","2022-02-01","","","","US","","C-00099","","","Tier 1","","7576103.83","2423896.17","Green","422","10000000.00","","Live - Support"
